_id,quote,tags[0],tags[1],tags[2],tags[3],tags[4],tags[5],tags[6],tags[7],author
653abc8c96d36f43860f1191,"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”",friendship,love,,,,,,,653a93a4e5b0e0926c9df94c
653abc8c96d36f43860f1192,“Do one thing every day that scares you.”,attributed,fear,inspiration,,,,,,653a93a4e5b0e0926c9df94f
653abc8c96d36f43860f1193,"“I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.”",attributed-no-source,,,,,,,,653a93a4e5b0e0926c9df949
653abc8c96d36f43860f1194,"“If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.”",music,,,,,,,,653a93a4e5b0e0926c9df94d
653abc8c96d36f43860f1195,"“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”",books,thought,,,,,,,653a93a4e5b0e0926c9df965
653abc8c96d36f43860f1196,“The difference between genius and stupidity is: genius has its limits.”,misattributed-to-einstein,,,,,,,,653a93a4e5b0e0926c9df966
653abc8c96d36f43860f1197,"“He's like a drug for you, Bella.”",drug,romance,simile,,,,,,653a93a4e5b0e0926c9df967
653abc8c96d36f43860f1198,“There is no friend as loyal as a book.”,books,friends,novelist-quotes,,,,,,653a93a4e5b0e0926c9df968
653abc8c96d36f43860f1199,"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”",inspirational,,,,,,,,653a93a4e5b0e0926c9df96a
653abc8c96d36f43860f119a,“Life isn't about finding yourself. Life is about creating yourself.”,inspirational,life,yourself,,,,,,653a93a4e5b0e0926c9df969
653abc8c96d36f43860f119b,"“That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.”",alcohol,,,,,,,,653a93a4e5b0e0926c9df96d
653abc8c96d36f43860f119c,“You don’t forget the face of the person who was your last hope.”,the-hunger-games,,,,,,,,653a93a4e5b0e0926c9df96c
653abc8c96d36f43860f119d,"“Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.”",humor,,,,,,,,653a93a4e5b0e0926c9df96c
653abc8c96d36f43860f119e,"“To love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one, not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket, safe, dark, motionless, airless, it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. To love is to be vulnerable.”",love,,,,,,,,653a93a4e5b0e0926c9df962
653abc8c96d36f43860f119f,“Not all those who wander are lost.”,bilbo,journey,lost,quest,travel,wander,,,653a93a4e5b0e0926c9df96b
653abc8c96d36f43860f11a0,"“Do not pity the dead, Harry. Pity the living, and, above all those who live without love.”",live-death-love,,,,,,,,653a93a4e5b0e0926c9df94a
653abc8c96d36f43860f11a1,“There is nothing to writing. All you do is sit down at a typewriter and bleed.”,good,writing,,,,,,,653a93a4e5b0e0926c9df968
653abc8c96d36f43860f11a2,“Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.”,life,regrets,,,,,,,653a93a4e5b0e0926c9df95c
653abc8c96d36f43860f11a3,“I have never let my schooling interfere with my education.”,education,,,,,,,,653a93a4e5b0e0926c9df957
653abc8c96d36f43860f11a4,“I have heard there are troubles of more than one kind. Some come from ahead and some come from behind. But I've bought a big bat. I'm all ready you see. Now my troubles are going to have troubles with me!”,troubles,,,,,,,,653a93a4e5b0e0926c9df951
653abc8c96d36f43860f11a5,“If I had a flower for every time I thought of you...I could walk through my garden forever.”,friendship,love,,,,,,,653a93a4e5b0e0926c9df96f
